id,title,start,attestation_year,fclasses,end,title_uri,ccodes,variants,types,aat_types,matches,lat,lon,geowkt,geo_source,geo_id,description,title_source
rue-a,Gmina Łask,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Lask,Kreis,300236157,,51.6018,19.1582,,geonames,gn:7533524,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Koło County,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Kolo;Warthbrücken,Kreis,300236157,,52.24446,18.78096,,geonames,gn:7531082,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Kalisz,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Kalisz;Kalisch,Kreis,300236157,,51.74725,18.07606,,geonames,gn:7530863,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Gostynin County,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Gostynin,Kreis,300236157,,52.38988,19.62187,,geonames,gn:7530928,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Turek County,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Turek;Tureck,Kreis,300236157,,51.99581,18.49301,,geonames,gn:7531004,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Łódź,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Lodz;Litzmannstadt;Lodsch,Kreis,300236157,,51.76529,19.48288,,geonames,gn:6697536,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Kutno County,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Kutno,Kreis,300236157,,52.2514,19.39706,,geonames,gn:7530927,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Sieradz County,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Sieradz;Sieradsch,Kreis,300236157,,51.60297,18.60309,,geonames,gn:7531009,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Łęczyca,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Lentschütz;Lentzschütz,Kreis,300236157,,52.05,19.2,,factgrid,https://database.factgrid.de/wiki/Item:Q610193,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Gniezno,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Gnesen,Kreis,300236157,,52.533333,17.6,,factgrid,https://database.factgrid.de/wiki/Item:Q80779,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Września,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Wreschen,Kreis,300236157,,52.316667,17.566667,,factgrid,https://database.factgrid.de/wiki/Item:Q93798,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Wieluń,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Wielun;Welun;Vielin,Kreis,300236157,,51.216667,18.566667,,factgrid,https://database.factgrid.de/wiki/Item:Q93520,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Ostrów Wielkopolski,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Ostrow;Ostrowo,Kreis,300236157,,51.65,17.816667,,factgrid,https://database.factgrid.de/wiki/Item:Q80870,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Włocławek,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Leslau,Kreis,300236157,,52.65,19.083333,,factgrid,https://database.factgrid.de/wiki/Item:Q603154,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Krotoszyn,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Krotoschin;Krote,Kreis,300236157,,51.683333,17.433333,,factgrid,https://database.factgrid.de/wiki/Item:Q80819,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Niespodzianka,,1940,A,,https://doi.org/10.5281/zenodo.10665221,PL,Neu-Posen;Niespodzianka I;Neu-Posen I,Kreis,300236157,,50.745,26.699,,The Genealogical Gazetteer (GOV),http://gov.genealogy.net/NIEKAIKO30IR,An administrative area where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
